code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,63.86967799299659,57.65283275822756,6.216845234769034,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,62.168452347690334,66.66666666666666,0.0,65.56685717572564,0.0,1,1,A_recovered_proxy_vr1.5,True
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,57.65283275822756,57.65283275822756,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,62.168452347690334,66.66666666666666,0.0,65.56685717572564,0.0,1,1,B_pure_quant_vr1.5,True
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,70.67597507234379,61.73661100583588,8.939364066507911,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,A_recovered_proxy_vr1.2,True
2045,002045.SZ,国光电器,元器件,20230103,12.66,54.36063016572861,47.234829077052446,7.125801088676159,1.44,4.1687,4982.19,3.284950343773871,weak_momentum,BULL_TREND,26.303440583379377,100.0,49.8219,65.0,71.25801088676158,63.33333333333333,0.0,34.77335126576427,0.0,2,2,A_recovered_proxy_vr1.2,True
2181,002181.SZ,粤传媒,出版业,20230103,5.72,53.15144249174227,53.15144249174227,0.0,1.47,7.5351,7487.44,13.725490196078432,weak_momentum,BULL_TREND,27.790807753081985,85.62091503267973,74.8744,100.0,56.96520946496285,33.33333333333333,0.0,66.79647625631543,0.0,3,3,A_recovered_proxy_vr1.2,True
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,61.73661100583588,61.73661100583588,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,D_pure_quant_vr1.2,True
2181,002181.SZ,粤传媒,出版业,20230103,5.72,53.15144249174227,53.15144249174227,0.0,1.47,7.5351,7487.44,13.725490196078432,weak_momentum,BULL_TREND,27.790807753081985,85.62091503267973,74.8744,100.0,56.96520946496285,33.33333333333333,0.0,66.79647625631543,0.0,2,2,D_pure_quant_vr1.2,True
2334,002334.SZ,英威腾,电气设备,20230103,8.3,48.3299205231548,48.3299205231548,0.0,1.43,4.7499,5568.19,10.944206008583686,weak_momentum,BULL_TREND,25.800757350183236,100.0,55.6819,80.0,57.08890126562783,33.33333333333333,0.0,54.71375376077648,0.0,3,3,D_pure_quant_vr1.2,True
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,48.32756490607401,48.32756490607401,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_sector_vr1.2,True
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,53.04037900583588,53.04037900583588,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_inflow_vr1.2,True
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,51.90158242947703,51.90158242947703,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_wyckoff_vr1.2,True
